id,person_id,planet1_name,planet2_name,aspect_type,degree_difference
,10581838,Солнце,Юпитер,Тригон,121
,10581838,Солнце,Сатурн,Оппозиция,177.9
,10581838,Луна,Меркурий,Квадрат,91.8
,10581838,Луна,Уран,Оппозиция,179.2
,10581838,Меркурий,Уран,Квадрат,88.9
,10581838,Меркурий,Нептун,Секстиль,57.3
,10581838,Меркурий,Плутон,Тригон,118.8
,10581838,Юпитер,Сатурн,Секстиль,61.2
,10581838,Нептун,Плутон,Секстиль,61.5
